,,,,,,
,"Instrucciones: (Revisar: """,,,,,
,5,Volvería a comprar soy del estado de México lo único inconvenientes son el precio del envío,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Pero si vale la pena,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"El producto llegó súper bien empaquetado y a tiempo, tiene buen sabor y buen efecto, cabe recalcar que soy fumador intermedio.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Candy Melt Formula, Sour Blueberry fueron un excelente producto, recomendado",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"un muy buen producto si lo que quieres en un momento de desestres, relajación y concentración , lo recomiendo ampliamente.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Bastante rico, lo recomiendo alpliamente",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente servicio, 100% recomendado",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy bien producto está 💯 % recomendado súper high,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy buen producto, no es la primera vez que lo compro y no decepciona",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me encanta el sabor y ponen conmadre,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto 🫶,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Cumple con las características. Buen tryp y una duración decente,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Buen efecto, pero no dura tanto tiempo",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Sin duda la atención y el servicio de primera muy profesional y cuidadosos de quién es el comprador. Excelente producto.,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Muy bien producto, sabía muy rico,",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto me tumbo como gorda con aceite,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Soy nuevo en esto, por lo tanto los reviews no me sirvieron mucho ya que decían que los productos no eran fuertes y a mi me tumbaron.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Gran producto, pega muchísimo y el instructivo es bastante claro",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Los dulces son una maravilla, el vape igual",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,3,Siento que algunos no están tan concentrados,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy bien producto de calidad y con efectos increíbles,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Me tuve que comer uno y medio para que me pegara pero si me duró el efecto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Es buen producto, pero ojo como es caramelo melt demora en derretirse en la boca, difícil de morder. En cuanto al efecto dura varias horas.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Cumple perfectamente tanto en envío como en calidad.,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, llegó súper rápido y pega deli",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Asombroso, alta potencia 👽, lo recomiendo 💯",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,El producto está bien pero yo buscaba algo un poco más fuerte,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,,"Excelente producto, buen viaje",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Estuvo riquísimo; y, vaya que sí lo recomiendo!",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,1,"No cumple con lo que promete, efecto muy leve, sabor horrible y bastante baja duración, no compraría de nuevo este producto",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Buen producto, pensé que eran gomitas pero eran dulces. 100% recomendadas",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto 100% recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente producto, pega tal y como esperaba sin mencionar su excelente presentación 10/10",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Excelente producto lo recomiendo,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,3,No me agrado el sábor pero tampoco me disgusto,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Buen sabor y efecto pero les daria mas puntos si su caramelo tuviera forma o diseño, mas que solo sea un chunk pegado al empaque interno",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Buen sabor y efecto pero les daria mas puntos si su caramelo tuviera forma o diseño, mas que solo sea un chunk pegado al empaque interno",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen producto 100% recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,Candy kush 100% recomendado,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Excelente servicio, super recomendado💯",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"excelente efecto, solo q en mi caso se tardaron 2 horas en pegar",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,"Tienen bien potencia, solo que hay sabores que no pegan tanto (sandía) el que me tumbó fue el de buuble",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,3,"El efecto en mí fue muy ligero, no me dio el high que me da fumada, quizá para alguien que sea principiante puede estar bien.",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"Excelente producto, muy buena calidad!",8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,5,Muy buen servicio por parte del repartidor muy amable y cordial,8316673097900,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg-copia,,
,4,"El producto está bien. Llego bien y todo, solo que considero q pega muy ligerito y q no dura tanto el efecto, además de que no tienesabor. Fuera de eso, pega rápido y es un efecto muy suave",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Excelente producto, el sabor es feo, pero muy buen efecto",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,Recomiendo una goma por sesión. Ah mí la verdad con solo una de 50 tuve para tener un buen viaje ya si quieres que tu viaje sea más elevado te recomiendo 2.,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Con una gomita tienes un buen viaje. Recomendado 👌🏻,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,2,Nunca me pegó el producto,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,1,"Muy mal producto, no sentí ningún efecto",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, buen viaje!!",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,me comi las 2 de golpe y estuvo bastante bien,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Buen producto, buen tryp💚",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,2,De sabor a sandía ácida. No son muy potentes. No sentí que me hiciera efecto,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Pega fuerte si te comes las 2 recomendable,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,3,"No, sentí efecto alguno, supongo es para principiantes",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Es bueno, pega muy relax si eres consumidor necesitarás más de uno para sentirte a gusto",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Candy Kush me encanto! justo lo que venia en la descripción y el sabor es muy bueno,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto!,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,nan,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, buen sabor y gran potencia. La dividí en 2 porciones.",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Buen producto y variedad,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Cumple con la misión de relajación y sabor rico.,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Llego muy rápido,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Pega muy bien. Un solo caramelo basta para tener un buen trip por 4-5 horas,8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"lo recomiendo ampliamente, una maravilla",8316682076332,https://extractoseum.com/products/red-hot-chili-caramel-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Muy buen producto, me hizo efecto en 2 horas y a mi mamá en 3. Pesamos lo mismo pero ella mide menos, no se a que se deba. Lo recomiendo",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto. Lo recomiendo ampliamente,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"me puse bien high, recomiendo. buen precio y buena calidad",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,3,"La verdad esta muy leve, ninguna de las 2 me pego mucho, chance juntas valgan mas la pena",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, buenos efectos.",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,100% recomendable el producto y con un servicio de entrega excelente,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Buen producto, solo que el sabor no fue totalmente de mi agrado pero de ahí en fuera pegó bastante bien",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,El producto estaba bueno y buen efecto,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,1,"Pedí unas pastillas de candy kush pensando que serian realmente lo que prometen, pero la verdad nunca sentí ni el más mínimo efecto con el producto no soy un consumidor habitual así que por tolerancia no fue, me sentí estafado y no se si probar algo más de sus productos.",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto y entrega rápida.,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy bueno, gran efecto y tiene muy buen sabor",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Pegan bieeeen sabroso y no te da para abajo,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,Recomiendo para relajarse un rato🫶👌,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,me gusta por el precio pero si eres habitual consumidor una no te pegara bien una y media si es la dosis,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Mejoro mucho respecto a la primera pieza que compre de este producto, con uno tengo y me sobra aun con mi aberrante tolerancia extrema al cannabis",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Una experiencia muy confortante, un viaje muy potente y con efectos potentes, muy recomendable",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,3,me tardo demasiado es hacer efecto :c,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Pega duro la verdad, lo recomiendo. Aunque el sabor es un poco raro pero aguantable. 100% recomendado.",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy buen producto, totalmente recomendable",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"mis respetos, es un caramelo y sabe a Maribel, es medio empalagoso el sabor pero con te pone bien viajado",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"mis respetos, es un caramelo y sabe a Maribel, es medio empalagoso el sabor pero con te pone bien viajado",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Muy ricas, saben a jolly rancher pero con magia!",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,3,No tiene la potencia de un THC-O con HHC como mencionan los ingredientes,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"El efecto de una sola es bueno, tiene una potencia considerable. Dos ya sería demasiado incluso para consumidores frecuentes.",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"excelente producto, recomendable para gente que sabe consumir, buen sabor, para un viaje de fin de semana, recomendado",8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Buen servicio de envíos y calidad del producto 👌 👍 ✅️,8315450130604,https://extractoseum.com/products/cream-candy-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Un muy buen producto, no pega tanto como creí pero si te da un efecto relajante, bueno para los que apenas inician con esto",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Buen producto, lo subestimé y me sorprendió demasiado así que 100% recomendado",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Excelente producto , lo recomendó ampliamente y volveré a pedir más",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,3,"Es un buen producto pero siento que el sabor está un poco feo, de ahí en fuera todo bien, el viaje no se siente tanto",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,null,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Excelente producto, tiene sabor fuerte pero buen efecto",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Sus productos son muy buenos,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Excelente producto recomendable para personas que no conocen sobre este tipo de producto y quieren comprar como primera vez,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"La logística de envío bien, el Vape bien, los comestibles la verdad no tuvieron efecto en mi",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"muy buen producto con buen sabor, lo recomiendo",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,1,Sabe mucho a ácido sintético,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,El producto me tardo en pegar pero el efecto duró mucho y fue el mejor,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Pegan no tan fuerte, tienen muy buen sabor. El envío más lento del universo.",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,null,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,null,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Excelente producto,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,3,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Muy bueno, lo recomiendo, entra en el top uno de los comestibles que e probada de EUM hasta ahora",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"excelente producto, lo recomiendo",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,excelente producto 100% recomendado y pues eficaz efica,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Muy buen producto, el efecto está rico, lo único es que trae muy poquito contenido.",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,3,Eran muy buenas la primera vez que la compré ahora ya no dan el mismo efecto,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Este producto tiene buen sabor, y pegan rico y a gusto, sin duda se siente el efecto incluso con una pequena porcion, recomendado",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,La dosis es perfecta para llevar un viaje controlable y se disfruta bastante. Además el sabor está rico,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"1000% recomendado, llegam super rápido, y un efecto exquisito!",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Buen producto ideal para una boda,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Quedas satisfecho con el producto, un producto muy prometedor, recomendado al 100%",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Muy buena presentación, excelente producto. Estoy muy satisfecho con mi compra",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Muy buen producto para gente que consume o que nunca a consumido,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Recomiendo usarlas antes de comer !!,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,100% recomendado !!,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Potente, excelente y delicioso",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,Excelente producto,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,"Delicioso sabor, 100% derritementes",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Excelente producto 100% lo recomiendo, cumple con todo y llega más rápido a tu casa",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Con una estás chill, con dos se siente genial",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Muy buen producto, buena duración de viaje y sabor rico",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Muy bien producto,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,1,Estuvo malo el producto solo sabia ahierba y no pegó,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Un excelente producto, lo recomiendo 100%",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,Buen producto,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,Dura bastante bien y de potencia es buena comiéndolo entero,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,No es para novatos definitivamente pero el efecto es rápido y duradero,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,"Muy buen efecto, tenia mucho sabor lo recomendaría sin duda",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Potente y rico,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Excelente producto y me ayudaron con el envío! SUUUUPER AMABLES,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,1,No lo recomiendo muy mal producto no hubo ningún efecto,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,3,Algunas pegan y otras como que no,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Muy bueno aunque consumo hierba siempre si m puso👌🏼,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,nan,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Muy buen producto y la entrega todo al cien,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"El producto tiene una excelente presentación, en cuanto a efecto y sabor cumple con lo prometido recomiendo empezar de poco por ejemplo 1/4 y aumentar dosis , eviten en exceso todo con medida",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,El mejor viaje,8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,4,"Buen producto, solo que una de las gomitas pegó mucho menos que la otra",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,"Gran calidad, sin duda lo volvería a comprar y super recomendado",8316682502316,https://extractoseum.com/products/hot-bites-180mg-delta-8-hhc,,
,5,Excelente producto al igual que su potencia excelente,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"En la madrugada me ya que me pego me puse a dibujar y saqué buen arte, después me dormí y como bebe, de verdad la volvería a comprar",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,"Muy buen producto, entrega rápida y segura se tardo menos del tiempo que me dio excelente calidad 100% recomendado",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Productos excelente y precios súper accesibles, la verdad quedé muy contento con mi pedido, y seguiremos comprando. 🫶🏻",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Está increíble pero el sabor de la sustancia es un poco mas fuerte,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Es muy bueno,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Muy buen producto ❤️🫡,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,2,"La verdad está bueno, y siento que si te pone un poco high, pero no dura mucho",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,4,Buenas tardes,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Tengo un problema, no me acepta el código del descuento y en costo del envío ya es muy caro de 200 pesos cuando antes no lo cobraban",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto y la experiencia que produces es muy buena,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Compramos entre un amigo y yo, los sonidos se podían sentir en la nuca y el tacto con las cosas era otro show, mi amigo casi se queda en el viaje 😂😂, hasta para gente experimentada que no está acostumbrada al psicoativo thc-o puede ser una experiencia uff😛😛",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,nan,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Excelente producto, muy bueno a buen precio 👌👽",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,100 lo recominedo,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Excelente producto pero si te comes una casi no se siente el tryp deben de ser las dos,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,Esta chido,8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
,5,"Sin duda los productos están buenos, 100% excelente servicio",8316675424428,https://extractoseum.com/products/sour-extreme-gummies-candy-kush-hhc-hhco-cbd-full-thco-120mg,,
